Model,Difficulty,Question Count,Pass@1 (%),Pass@8 (%),Length Mean,Length Variance
deepseek-r1-distill-qwen-1.5b,1.0,126,77.08333333333334,86.5079365079365,1986.0625,6046489.227244544
deepseek-r1-distill-qwen-1.5b,1.5,209,65.3708133971292,75.5980861244019,3121.8564593301435,14818413.590640098
deepseek-r1-distill-qwen-1.5b,2.0,166,60.8433734939759,77.10843373493977,6022.524096385542,36612163.00544346
deepseek-r1-distill-qwen-1.5b,2.25,4,25.0,25.0,11678.25,47412779.4375
deepseek-r1-distill-qwen-1.5b,2.5,173,58.95953757225434,75.14450867052022,7660.963150289017,49390343.36641666
deepseek-r1-distill-qwen-1.5b,3.0,21,44.642857142857146,61.904761904761905,11190.416666666666,62949273.38591272
deepseek-r1-distill-qwen-1.5b,3.5,200,50.9375,68.5,9771.675625,52096947.36790586
deepseek-r1-distill-qwen-1.5b,3.75,3,8.333333333333332,33.33333333333333,12646.416666666666,47322923.82638889
deepseek-r1-distill-qwen-1.5b,4.0,543,31.537753222836095,53.95948434622467,12795.433241252302,56367457.36939225
deepseek-r1-distill-qwen-1.5b,4.25,3,33.33333333333333,33.33333333333333,10828.666666666666,37891225.38888889
deepseek-r1-distill-qwen-1.5b,4.375,1,0.0,0.0,14899.25,8416669.4375
deepseek-r1-distill-qwen-1.5b,4.5,398,25.659547738693465,46.984924623115575,14029.783291457286,53594701.06359018
deepseek-r1-distill-qwen-1.5b,4.75,12,38.54166666666667,75.0,13512.614583333334,56106312.986870654
deepseek-r1-distill-qwen-1.5b,5.0,890,23.230337078651687,42.247191011235955,14190.847471910112,55521729.028420575
deepseek-r1-distill-qwen-1.5b,5.25,232,14.331896551724139,28.448275862068968,15481.419181034482,49566517.09368381
deepseek-r1-distill-qwen-1.5b,5.5,158,25.079113924050635,40.50632911392405,13376.620253164558,49143258.43015943
deepseek-r1-distill-qwen-1.5b,6.0,259,13.513513513513514,30.888030888030887,15422.800675675675,48019893.30148602
deepseek-r1-distill-qwen-1.5b,6.25,7,19.642857142857142,42.857142857142854,14730.267857142857,35071551.6961097
deepseek-r1-distill-qwen-1.5b,6.5,106,10.849056603773585,27.358490566037734,14787.662735849057,38097564.63625289
deepseek-r1-distill-qwen-1.5b,6.75,1,0.0,0.0,14951.125,6663235.859375
deepseek-r1-distill-qwen-1.5b,7.0,387,10.755813953488373,19.638242894056848,15002.593992248061,36893476.585480705
deepseek-r1-distill-qwen-1.5b,7.5,77,8.928571428571429,24.675324675324674,15564.469155844155,39390446.40813954
deepseek-r1-distill-qwen-1.5b,8.0,265,10.99056603773585,23.0188679245283,15727.840094339623,36205154.442826405
deepseek-r1-distill-qwen-1.5b,8.25,1,0.0,0.0,12465.625,5036534.484375
deepseek-r1-distill-qwen-1.5b,8.5,13,23.076923076923077,46.15384615384615,16678.85576923077,34638560.08496671
deepseek-r1-distill-qwen-1.5b,9.0,157,9.872611464968154,23.56687898089172,15344.81449044586,40086945.36924863
deepseek-r1-distill-qwen-1.5b,9.5,16,3.90625,18.75,14491.875,24926052.8125
qwen2.5-1.5b-instruct,1.0,126,29.86111111111111,72.22222222222221,230.46031746031747,1067707.0678697405
qwen2.5-1.5b-instruct,1.5,209,20.454545454545457,58.3732057416268,354.67703349282294,2031408.6133959843
qwen2.5-1.5b-instruct,2.0,166,13.930722891566266,40.36144578313253,497.31852409638554,3624879.070982158
qwen2.5-1.5b-instruct,2.25,4,3.125,25.0,444.0625,32101.24609375
qwen2.5-1.5b-instruct,2.5,173,11.99421965317919,37.57225433526011,536.2666184971098,1807285.431082207
qwen2.5-1.5b-instruct,3.0,21,9.523809523809524,19.047619047619047,856.3214285714286,12259122.170493197
qwen2.5-1.5b-instruct,3.5,200,6.25,27.500000000000004,797.49875,9830848.87874844
qwen2.5-1.5b-instruct,3.75,3,0.0,0.0,745.0416666666666,182876.0399305556
qwen2.5-1.5b-instruct,4.0,543,2.440147329650092,12.154696132596685,845.4399171270718,9171791.047495022
qwen2.5-1.5b-instruct,4.25,3,0.0,0.0,318.5833333333333,39127.65972222222
qwen2.5-1.5b-instruct,4.375,1,0.0,0.0,448.875,72780.359375
qwen2.5-1.5b-instruct,4.5,398,2.261306532663317,10.552763819095476,796.3125,7531788.520120132
qwen2.5-1.5b-instruct,4.75,12,3.125,16.666666666666664,937.2604166666666,10733223.025933163
qwen2.5-1.5b-instruct,5.0,890,2.303370786516854,10.674157303370785,868.7186797752809,8932771.045718482
qwen2.5-1.5b-instruct,5.25,232,1.6163793103448276,7.327586206896551,738.6427801724138,5210662.614312098
qwen2.5-1.5b-instruct,5.5,158,3.7183544303797467,15.18987341772152,764.1946202531645,5512779.321300171
qwen2.5-1.5b-instruct,6.0,259,2.799227799227799,11.96911196911197,773.9184362934363,4593114.15599215
qwen2.5-1.5b-instruct,6.25,7,3.571428571428571,14.285714285714285,1210.107142857143,18073926.7742347
qwen2.5-1.5b-instruct,6.5,106,2.1226415094339623,9.433962264150944,758.7346698113207,6147430.9920998905
qwen2.5-1.5b-instruct,6.75,1,0.0,0.0,534.0,20503.0
qwen2.5-1.5b-instruct,7.0,387,2.842377260981912,11.627906976744185,814.3010335917313,5965470.175528647
qwen2.5-1.5b-instruct,7.5,77,3.0844155844155843,10.38961038961039,785.8538961038961,4391203.683199106
qwen2.5-1.5b-instruct,8.0,265,2.688679245283019,12.830188679245284,747.1627358490566,3993750.5654981756
qwen2.5-1.5b-instruct,8.25,1,0.0,0.0,602.75,39112.1875
qwen2.5-1.5b-instruct,8.5,13,3.8461538461538463,15.384615384615385,950.8173076923077,9855387.399315828
qwen2.5-1.5b-instruct,9.0,157,2.3089171974522293,10.828025477707007,808.4394904458599,5140363.201752607
qwen2.5-1.5b-instruct,9.5,16,3.125,12.5,579.3828125,101660.50189208984
qwen3-0.6b,1.0,126,74.50396825396825,83.33333333333334,2027.9275793650793,4330447.495747315
qwen3-0.6b,1.5,209,63.63636363636363,73.20574162679426,3255.2607655502393,15952032.732240563
qwen3-0.6b,2.0,166,52.40963855421686,70.48192771084338,6179.792921686747,29490456.906666767
qwen3-0.6b,2.25,4,21.875,50.0,11441.65625,34053153.85058594
qwen3-0.6b,2.5,173,52.89017341040463,67.05202312138728,8432.104046242775,46661374.3461108
qwen3-0.6b,3.0,21,26.785714285714285,42.857142857142854,10921.565476190477,48089047.948093824
qwen3-0.6b,3.5,200,38.875,59.0,10319.88,41933207.2156
qwen3-0.6b,3.75,3,4.166666666666666,33.33333333333333,11747.833333333334,24364779.055555552
qwen3-0.6b,4.0,543,22.168508287292816,43.83057090239411,13133.946132596686,47090725.27610383
qwen3-0.6b,4.25,3,16.666666666666664,33.33333333333333,9086.333333333334,15623732.722222224
qwen3-0.6b,4.375,1,0.0,0.0,16172.5,19066436.25
qwen3-0.6b,4.5,398,17.368090452261306,34.67336683417086,14126.007537688442,46649333.93336027
qwen3-0.6b,4.75,12,22.916666666666664,50.0,15089.666666666666,53737098.638888896
qwen3-0.6b,5.0,890,16.51685393258427,33.03370786516854,14033.810533707865,45679449.46536656
qwen3-0.6b,5.25,232,10.075431034482758,25.0,15328.860452586207,41212046.40132394
qwen3-0.6b,5.5,158,17.563291139240505,31.645569620253166,13395.911392405063,41325399.51904743
qwen3-0.6b,6.0,259,9.749034749034749,22.393822393822393,14324.037162162162,41332884.82439118
qwen3-0.6b,6.25,7,3.571428571428571,14.285714285714285,14597.517857142857,20859948.249681123
qwen3-0.6b,6.5,106,6.485849056603773,15.09433962264151,13311.909198113208,32190345.51887766
qwen3-0.6b,6.75,1,0.0,0.0,11122.125,2366252.109375
qwen3-0.6b,7.0,387,8.527131782945736,17.571059431524546,13297.137273901808,32873982.162357423
qwen3-0.6b,7.5,77,10.064935064935066,22.07792207792208,14405.165584415585,34478450.64465972
qwen3-0.6b,8.0,265,8.962264150943396,20.0,14142.02358490566,31960812.816424884
qwen3-0.6b,8.25,1,0.0,0.0,18008.25,17294434.9375
qwen3-0.6b,8.5,13,8.653846153846153,38.46153846153847,13422.884615384615,25623219.928994082
qwen3-0.6b,9.0,157,8.9171974522293,22.29299363057325,13776.933917197452,29835092.197066184
qwen3-0.6b,9.5,16,1.5625,6.25,12704.7109375,26386513.45550537
qwen3-1.7b,1.0,126,79.76190476190477,82.53968253968253,2443.4781746031745,3933424.9896030165
qwen3-1.7b,1.5,209,70.81339712918661,73.20574162679426,3588.093301435407,11623585.063065177
qwen3-1.7b,2.0,166,69.50301204819277,78.91566265060241,6808.040662650603,35002334.63539474
qwen3-1.7b,2.25,4,56.25,100.0,11736.625,28299432.984375
qwen3-1.7b,2.5,173,70.3034682080925,79.76878612716763,8865.953757225434,55472004.63658993
qwen3-1.7b,3.0,21,47.61904761904761,61.904761904761905,13942.922619047618,80792052.8332979
qwen3-1.7b,3.5,200,62.18749999999999,75.5,10828.645,47941426.05397501
qwen3-1.7b,3.75,3,20.833333333333336,33.33333333333333,14961.333333333334,60605718.63888889
qwen3-1.7b,4.0,543,47.444751381215475,65.93001841620627,14393.379604051566,61738014.299501136
qwen3-1.7b,4.25,3,33.33333333333333,33.33333333333333,10830.208333333334,13192837.414930558
qwen3-1.7b,4.375,1,37.5,100.0,21015.625,16398522.984375
qwen3-1.7b,4.5,398,37.59422110552764,53.768844221105525,15534.119032663317,59358420.866798565
qwen3-1.7b,4.75,12,67.70833333333334,100.0,14510.15625,51150638.3610026
