Model,Difficulty Group,Question Count,Pass@1 (%),Pass@8 (%),Length Mean,Length Variance
deepseek-r1-distill-qwen-1.5b,1,335,69.77611940298509,79.70149253731343,2694.6623134328356,11821832.328131966
deepseek-r1-distill-qwen-1.5b,2,343,59.475218658892125,75.51020408163265,6914.864795918367,44113827.199285455
deepseek-r1-distill-qwen-1.5b,3,224,49.776785714285715,67.41071428571429,9943.18359375,53320382.978012085
deepseek-r1-distill-qwen-1.5b,4,957,29.15360501567398,51.20167189132707,13313.80420585162,55491155.702913314
deepseek-r1-distill-qwen-1.5b,5,1280,21.845703125,39.53125000000001,14324.257421875,54020926.57689804
deepseek-r1-distill-qwen-1.5b,6,373,12.835120643431635,30.02680965147453,15228.044571045577,44932575.222209156
deepseek-r1-distill-qwen-1.5b,7,464,10.452586206896552,20.474137931034484,15095.836206896549,37351540.796447724
deepseek-r1-distill-qwen-1.5b,8,279,11.514336917562725,24.014336917562723,15760.46012544803,36099664.93299785
deepseek-r1-distill-qwen-1.5b,9,173,9.320809248554914,23.121387283236995,15265.929913294798,38745842.89031905
qwen2.5-1.5b-instruct,1,335,23.992537313432837,63.582089552238806,307.95671641791046,1672562.4197683223
qwen2.5-1.5b-instruct,2,343,12.82798833819242,38.775510204081634,516.3418367346939,2666671.6069085794
qwen2.5-1.5b-instruct,3,224,6.473214285714286,26.33928571428572,802.3108258928571,9929623.660641728
qwen2.5-1.5b-instruct,4,957,2.364158829676071,11.494252873563218,824.0940438871473,8472872.413308308
qwen2.5-1.5b-instruct,5,1280,2.353515625,10.624999999999998,832.240234375,7839068.279006194
qwen2.5-1.5b-instruct,6,373,2.613941018766756,11.26005361930295,777.1461126005362,5279335.600635023
qwen2.5-1.5b-instruct,7,464,2.882543103448276,11.422413793103447,809.5802801724138,5704335.371787852
qwen2.5-1.5b-instruct,8,279,2.7329749103942653,12.903225806451612,756.1344086021505,4254625.891432537
qwen2.5-1.5b-instruct,9,173,2.384393063583815,10.982658959537574,787.2550578034682,4678759.671217194
qwen3-0.6b,1,335,67.72388059701493,77.01492537313433,2793.636940298508,11934398.715575714
qwen3-0.6b,2,343,52.295918367346935,68.5131195335277,7377.161078717201,39652046.175948694
qwen3-0.6b,3,224,37.276785714285715,57.142857142857146,10395.412388392855,42330569.29143138
qwen3-0.6b,4,957,20.141065830721004,40.020898641588296,13561.53735632184,47198009.98867765
qwen3-0.6b,5,1280,15.478515625,31.40625,14189.79765625,44662160.4619866
qwen3-0.6b,6,373,8.679624664879357,20.107238605898125,14032.956434316355,38481336.8553406
qwen3-0.6b,7,464,8.782327586206895,18.31896551724138,13481.012661637931,33310169.917673737
qwen3-0.6b,8,279,8.915770609318997,20.788530465949822,14122.372759856631,31690232.08237624
qwen3-0.6b,9,173,8.236994219653178,20.809248554913296,13677.768786127168,29612641.907522768
qwen3-1.7b,1,335,74.17910447761196,76.71641791044776,3157.581343283582,9038596.600845955
qwen3-1.7b,2,343,69.75218658892128,79.59183673469387,7903.473032069971,46467847.016036585
qwen3-1.7b,3,224,60.26785714285713,73.66071428571429,11175.95703125,52208151.32460457
qwen3-1.7b,4,957,43.54754440961338,61.23301985370951,14865.007967607105,60820614.03663978
qwen3-1.7b,5,1280,33.818359375,48.90625000000001,16115.5767578125,60299373.23668638
qwen3-1.7b,6,373,18.096514745308312,28.9544235924933,17352.46380697051,46639301.62670612
qwen3-1.7b,7,464,15.086206896551724,21.336206896551722,17724.93453663793,42268553.20180291
qwen3-1.7b,8,279,14.516129032258064,26.164874551971327,18303.02105734767,41264743.35484338
qwen3-1.7b,9,173,13.583815028901734,25.433526011560694,17894.89956647399,35888683.11346805
